URL,Source Page,Timestamp,Page Number
https://www.foxtons.co.uk/properties-for-sale/e4/chpk4890901,https://www.foxtons.co.uk/flats-for-sale/london?page=26,2025-06-13 21:12:18,26
https://www.foxtons.co.uk/properties-for-sale/e4/nwca6199572,https://www.foxtons.co.uk/properties-for-sale/london?page=22,2025-06-13 21:20:21,22
https://www.foxtons.co.uk/properties-for-sale/e4/nwca6199573,https://www.foxtons.co.uk/houses-for-sale/london?page=6,2025-06-13 21:06:25,6
https://www.foxtons.co.uk/properties-for-sale/e4/nwca6199574,https://www.foxtons.co.uk/houses-for-sale/london?page=6,2025-06-13 21:06:25,6
https://www.foxtons.co.uk/properties-for-sale/e5/chpk1218447,https://www.foxtons.co.uk/flats-for-sale/london?page=40,2025-06-13 21:13:37,40
https://www.foxtons.co.uk/properties-for-sale/e5/chpk3189939,https://www.foxtons.co.uk/flats-for-sale/london?page=23,2025-06-13 21:12:01,23
https://www.foxtons.co.uk/properties-for-sale/e5/chpk3195390,https://www.foxtons.co.uk/flats-for-sale/london?page=31,2025-06-13 21:12:46,31
https://www.foxtons.co.uk/properties-for-sale/e5/chpk3196301,https://www.foxtons.co.uk/houses-for-sale/london?page=9,2025-06-13 21:07:22,9
https://www.foxtons.co.uk/properties-for-sale/e5/chpk3201039,https://www.foxtons.co.uk/houses-for-sale/london?page=2,2025-06-13 21:05:20,2
https://www.foxtons.co.uk/properties-for-sale/e5/chpk3210493,https://www.foxtons.co.uk/properties-for-sale/london?page=8,2025-06-13 21:18:39,8
https://www.foxtons.co.uk/properties-for-sale/e5/chpk3213281,https://www.foxtons.co.uk/properties-for-sale/london?page=8,2025-06-13 21:18:39,8
https://www.foxtons.co.uk/properties-for-sale/e5/chpk3596612,https://www.foxtons.co.uk/flats-for-sale/london?page=19,2025-06-13 21:11:39,19
https://www.foxtons.co.uk/properties-for-sale/e5/chpk3668191,https://www.foxtons.co.uk/flats-for-sale/london?page=22,2025-06-13 21:11:56,22
https://www.foxtons.co.uk/properties-for-sale/e5/chpk4072004,https://www.foxtons.co.uk/flats-for-sale/london?page=31,2025-06-13 21:12:46,31
https://www.foxtons.co.uk/properties-for-sale/e5/chpk4650403,https://www.foxtons.co.uk/flats-for-sale/london?page=18,2025-06-13 21:11:34,18
https://www.foxtons.co.uk/properties-for-sale/e5/chpk5164537,https://www.foxtons.co.uk/houses-for-sale/london?page=3,2025-06-13 21:05:38,3
https://www.foxtons.co.uk/properties-for-sale/e5/isln0105015,https://www.foxtons.co.uk/flats-for-sale/london?page=15,2025-06-13 21:11:17,15
https://www.foxtons.co.uk/properties-for-sale/e5/isln0182065,https://www.foxtons.co.uk/flats-for-sale/london?page=42,2025-06-13 21:13:48,42
https://www.foxtons.co.uk/properties-for-sale/e5/ptny5229514,https://www.foxtons.co.uk/flats-for-sale/london?page=17,2025-06-13 21:11:29,17
https://www.foxtons.co.uk/properties-for-sale/e6/chpk1316078,https://www.foxtons.co.uk/flats-for-sale/london?page=50,2025-06-13 21:15:33,50
https://www.foxtons.co.uk/properties-for-sale/e6/chpk3159565,https://www.foxtons.co.uk/flats-for-sale/london?page=54,2025-06-13 21:17:43,54
https://www.foxtons.co.uk/properties-for-sale/e6/chpk3161910,https://www.foxtons.co.uk/houses-for-sale/london?page=12,2025-06-13 21:09:46,12
https://www.foxtons.co.uk/properties-for-sale/e6/chpk3164414,https://www.foxtons.co.uk/houses-for-sale/london?page=13,2025-06-13 21:09:51,13
https://www.foxtons.co.uk/properties-for-sale/e6/chpk3164422,https://www.foxtons.co.uk/houses-for-sale/london?page=13,2025-06-13 21:09:51,13
https://www.foxtons.co.uk/properties-for-sale/e6/chpk3167165,https://www.foxtons.co.uk/houses-for-sale/london?page=13,2025-06-13 21:09:51,13
https://www.foxtons.co.uk/properties-for-sale/e6/chpk3170646,https://www.foxtons.co.uk/flats-for-sale/london?page=48,2025-06-13 21:14:37,48
https://www.foxtons.co.uk/properties-for-sale/e6/chpk3171106,https://www.foxtons.co.uk/flats-for-sale/london?page=53,2025-06-13 21:17:34,53
https://www.foxtons.co.uk/properties-for-sale/e6/chpk3175435,https://www.foxtons.co.uk/flats-for-sale/london?page=48,2025-06-13 21:14:37,48
https://www.foxtons.co.uk/properties-for-sale/e6/chpk3180175,https://www.foxtons.co.uk/flats-for-sale/london?page=50,2025-06-13 21:15:33,50
https://www.foxtons.co.uk/properties-for-sale/e6/chpk3184523,https://www.foxtons.co.uk/houses-for-sale/london?page=13,2025-06-13 21:09:51,13
https://www.foxtons.co.uk/properties-for-sale/e6/chpk3185130,https://www.foxtons.co.uk/houses-for-sale/london?page=11,2025-06-13 21:09:41,11
https://www.foxtons.co.uk/properties-for-sale/e6/chpk3185311,https://www.foxtons.co.uk/houses-for-sale/london?page=9,2025-06-13 21:07:22,9
https://www.foxtons.co.uk/properties-for-sale/e6/chpk3186923,https://www.foxtons.co.uk/houses-for-sale/london?page=13,2025-06-13 21:09:51,13
https://www.foxtons.co.uk/properties-for-sale/e6/chpk3189617,https://www.foxtons.co.uk/flats-for-sale/london?page=50,2025-06-13 21:15:33,50
https://www.foxtons.co.uk/properties-for-sale/e6/chpk4504434,https://www.foxtons.co.uk/houses-for-sale/london?page=12,2025-06-13 21:09:46,12
https://www.foxtons.co.uk/properties-for-sale/e6/chpk4928256,https://www.foxtons.co.uk/flats-for-sale/london?page=33,2025-06-13 21:12:57,33
https://www.foxtons.co.uk/properties-for-sale/e6/chpk5152398,https://www.foxtons.co.uk/flats-for-sale/london?page=45,2025-06-13 21:14:05,45
https://www.foxtons.co.uk/properties-for-sale/e7/chpk3410862,https://www.foxtons.co.uk/flats-for-sale/london?page=47,2025-06-13 21:14:29,47
https://www.foxtons.co.uk/properties-for-sale/e7/chpk3411449,https://www.foxtons.co.uk/properties-for-sale/london?page=21,2025-06-13 21:20:15,21
https://www.foxtons.co.uk/properties-for-sale/e7/chpk3413836,https://www.foxtons.co.uk/flats-for-sale/london?page=48,2025-06-13 21:14:37,48
https://www.foxtons.co.uk/properties-for-sale/e7/chpk3414181,https://www.foxtons.co.uk/houses-for-sale/london?page=11,2025-06-13 21:09:41,11
